prompt,response
Whether 1st Class Magistrate & Executive Magistrate are the same. Kindly elaborate with legal provisions.,"It varies from State to State. Generally, Executive Magistrates cannot be equated with 1st Class Magistrates."
Whether the mentally retarded person or unsound mind person are to be treated as the same or there is legally some difference? Kindly elaborate.,A person declared by the competent court as of unsound mind under the Lunacy Act cannot contest any election.
Whether the nomination paper filed by a candidate not signed at the time of submission or filing of nomination papers can be signed thereafter before scrutiny of nomination papers or not?,"At the time of scrutiny, if any nomination paper of a candidate is found without the signature of the candidate, the RO should reject the nomination as it is a defect of substantial nature."
"In case of a reserved constituency, the SC/ST certificate if objected to on the ground that the caste/tribe do not figure in the list of the Constitution (Scheduled Castes) and (Scheduled Tribes), Order 1950, even though the certificate is proved to be issued by a competent authority, then what happens?","If the Caste/Tribe to which the candidate belongs is not one of the Castes/Tribes in the list of Scheduled Castes/Tribes for the State, then the candidate cannot be treated as qualified to contest from that reserved seat."
Does “Magistrate 1st Class” before whom the affidavit on Form 26 is to be sworn include “Executive Magistrate”?,"Affidavit should be sworn before only the magistrate of 1st class, notary public, and commissioner of oath appointed by the High Court of the state concerned."
"Is a candidate, in contractual obligation with any Gram/ Taluka/ District Panchayat or any other local body like municipality disqualified under section 9A of the R. P. Act, 1951?","No, only a subsisting contract with the government of the State concerned will attract disqualification under Section 9A of the R. P. Act, 1951, for election to the Legislative Assembly of that State."
If the candidate of one political party remarks adversely against another party candidate in news/news papers. Can this be considered as “Paid News”?,There are various aspects that need to be looked into before calling a news item a suspected case of “Paid News.” The MCMC has to apply its mind collectively to decide on each such case based on samples & evidences.
Is it necessary for an association to get registered by the Election Commission?,"It is not necessary for every association to get registered by the Election Commission. Only an association or body of individual citizens of India calling itself a political party and intending to avail itself of the provisions of Part-IV-A of the Representation of the People Act, 1951, (relating to registration of political parties) is required to get itself registered with the Election Commission of India."
What are the benefits of registration with the Election Commission of India?,"The candidates set up by a political party registered with the Election Commission of India will get preference in the matter of allotment of free symbols vis-à-vis purely independent candidates. Further, registered political parties, in course of time, can get recognition as 'State Party' or 'National Party' subject to the fulfillment of the conditions prescribed by the Commission in the Election Symbols (Reservation and Allotment) Order, 1968, as amended from time to time. If a party is recognised as a 'State Party', it is entitled for exclusive allotment of its reserved symbol to the candidates set up by it in the State of States in which it is so recognised, and if a party is recognised as a 'National Party', it is entitled for exclusive allotment of its reserved symbol to the candidates set up by it throughout India. Recognised 'State' and 'National' parties need only one proposer for filing the nomination and are also entitled for two sets of electoral rolls free of cost and broadcast/telecast facilities over Akashvani/Doordarshan during general elections."
What is the procedure for registration?,"An application for registration is to be submitted to the Secretary, Election Commission of India, Nirvachan Sadan, Ashoka Road, New Delhi-110001 in the proforma prescribed by the Commission. The Performa is available on request by post or across the counter from the office of the Commission. The proforma and necessary guidelines are also available on the Commission's website under the main heading Judicial References, sub-heading Political Party and sub-sub-heading Registration of Political Parties(Click Here). The same can be downloaded from there also. The application should be neatly typed on the party’s letterhead, if any, and it should be sent by registered post or presented personally to the Secretary to the Election Commission within thirty days following the date of formation of the party. 2. The application must be accompanied by the following documents/information:-
    (i) A demand draft for Rs. 10,000/- (Rupees Ten Thousand Only) on account of processing fee drawn in favour of Under Secretary, Election Commission of India, New Delhi. The processing fee is non-refundable.
    (ii) A neatly typed/printed copy of the memorandum/rules and regulations/Constitution of the Party containing a specific provision as required under sub-section (5) of Section 29A of the Representation of the People Act, 1951 in the exact terms, which reads ""---------------(name of the party) shall bear true faith and allegiance to the constitution of India as by law established, and to the principles of socialism, secularism and democracy and would uphold the sovereignty, unity and integrity of India"". The above mandatory provision must be included in the text of party constitution/rules and regulations/memorandum itself as one of the Articles/clauses.
    (iii) The copy of the party Constitution should be duly authenticated on each page by the General Secretary/President/Chairman of the Party and the seal of the signatory should be affixed thereon.
    (iv) There should be a specific provision in the Constitution/rules and regulations/memorandum of the party regarding organizational elections at different levels and the periodicity of such elections and terms of office of the office-bearers of the party.
    (v) The procedure to be adopted in the case of merger/dissolution should be specifically provided in the Constitution/rules and regulations/memorandum.
    (vi) Certified extracts from the latest electoral rolls in respect of at least 100 members of the party (including all office-bearers/members of main decision-making organs like Executive Committee/Executive Council) to show that they are registered electors.
    (vii) An affidavit duty signed by the President/General Secretary of the party and sworn before a First Class Magistrate/Oath Commissioner)/ Notary Public to the effect that no member of the party is a member of any other political party registered with the Commission.
    (viii) Individual affidavits from at least 100 members of the party to the effect that the said member is a registered elector and that he is not a member of any other political party registered with the Commission duly sworn before a First Class Magistrate/Oath Commissioner)/Notary Public. These affidavits shall be in addition to the furnishing of certified extracts of electoral rolls in respect of the 100 members of the applicant party mentioned at (vi) above.
    (ix)Particulars of Bank accounts and Permanent Account Number, if any, in the name of the party.
    (x)Duly completed CHECK LIST along with requisite documents prescribed therein.
3. The application along with all the required documents mentioned above should reach the Secretary to the Commission within 30 days following the date of formation of the party.
4. Any application made after the said period will be time-barred."
What are the criteria for recognition of a party?,"A political party shall be treated as a recognized political party in a State, if and only if either the conditions specified in Clause (A) are, or the condition specified in Clause (B) is, fulfilled by that party and not otherwise, that is to say-
(A) that such party –
    has been engaged in political activity for a continuous period of five years; and
    has, at the last general election in that State to the House of the People, or, as the case may be, to the Legislative Assembly of the State, returned-
    either ( i ) at least one member to the House of the People for every twenty-five members of that House or any fraction of that number from that State;
    or (ii) at least one member to the Legislative Assembly of that State for every thirty members of that Assembly or any fraction of that number;
(B) that the total number of valid votes polled by all the contesting candidates set up by such party at the last general election in the State to the House of the People, or as the case may be, to the Legislative Assembly of the State, is not less than six per cent of the total number of valid votes polled by all the contesting candidates at such general election in the State.
2. The conditions in Clause (A) or Clause (B) above shall not be deemed to have been fulfilled by a political party, if a member of the House of the People or the Legislative Assembly of the State becomes a member of that political party after his election to that House or, as the case may be, that Assembly.
3. 'State’ includes the National Capital Territory of Delhi and the Union Territory of Pondicherry.
4. If a political party is treated as a recognized political party in four or more States, it shall be known as a 'National Party’ throughout the whole of India, but only so long as that political party continues to fulfill thereafter the conditions for recognition in four or more States on the results of any subsequent general election either to the House of the People or to the Legislative Assembly of any State.
5. If a political party is treated as a recognized political party in less than four States, it should be known as a 'State Party’ in the State or States in which it is so recognized, but only so long as that political party continues to fulfill thereafter the conditions for recognition on the results of any subsequent general election to the House of the People or, as the case may be, to the Legislative Assembly of the State, in the said State or States."
Who is responsible for the counting of votes and declaration of result of an election?,"The Returning Officer

According to Sec. 64 of the R. P. Act, 1951, votes are counted by or under the supervision / direction of the Returning Officer of the Constituency. When the counting is completed, the Returning officer declares the result as per provisions of Sec. 66 of R. P. Act, 1951."
"After the declaration of results in all constituencies, which authority will constitute the new Lok Sabha – President or the Election Commission?","Election Commission of India (ECI)

According to Sec. 73 of the R. P. Act, 1951, after the results of all Parliamentary constituencies are declared, the Election Commission will constitute the new Lok Sabha by notifying in the official gazette, the names of the elected members."
How To Register to Vote,"Election commission of India offers online voter registration for Indian citizens who have attained the age of 18 on the qualifying date (1st of January of the year of revision of electoral roll). Citizen, can enroll himself/herself as General Voter and fill Form 6 online at National Voters' Service Portal. Registered voters should also check their enrollment status"
Voter Registration Status,"Visit https://electoralsearch.in/ to see if you are registered to vote. If your name appears in the list, you are eligible to vote, otherwise you need to register to vote. Visit https://www.nvsp.in/ for voter registration."
Register online to Vote,"General Voters need to fill Form 6 (Link to online form). This form is also for ‘First time voters’ and ‘voters who have shifted to another constituency’
NRI Voter need to fill form 6A (Link to online form)
For Deletion or Objection in electoral roll fill form 7 (link to online form)
Please fill Form 8 (Link to online form) for any change in (Name, Photo, Age, EPIC Number, Address, Date of birth, Age, Name of relative, Type of relation, Gender).
In case of shifting from one place of residence to another place of residence within the same constituency please fill Form 8A (Link to online form).

Please note : Voters need to fill Form 6 (Link to online form) if they are shifting from one constituency to another. For more information, please see the Voter Guide on http://ecisveep.nic.in/"
Deadlines and Key Dates,"Voter list is continuously updated till the last date of filing of nominations by the candidate. This is approximately 3 weeks before the polling date. The exact polling dates will be available on eci.gov.in, after announcement."
Requirements for registering to vote,"You can enroll as a Voter if you:

 1. are an Indian citizen.
 2. have attained the age of 18 years on the qualifying date i.e. 1st of January of the year of revision of electoral roll.
 3. are ordinarily resident of the part/polling area of the constituency where you want to be enrolled.
 4. are not disqualified to be enrolled as an elector.
If you meet the above criteria please visit nvsp.in to register online.
"
What are the main categories of electors in India?,"There are 3 categories of electors in India: General electors, Overseas (NRI) electors, and Service Electors."
Who is eligible to be registered as a general elector?,"Every Indian citizen who has attained the age of 18 years on the qualifying date i.e. first day of January of the year of revision of electoral roll, unless otherwise disqualified, is eligible to be registered as a voter in the roll of the part/polling area of the constituency where he is ordinarily resident."
What is the relevant date for determining the age of 18 years?,"According to Section 14 (b) of the Representation of People Act, 1950 the relevant date (qualifying date) for determining the age of an applicant is the first day of January of the year in which the electoral roll after revision is finally published. For example, if you have completed or are completing 18 years of age on any date from and after 2nd January 2013 but upto to 1st January 2014, you will be eligible for registration as a voter in the elector roll going to be finally published in January, 2014."
Can I get myself registered as a voter on the day when I have completed 18 years of age?,"According to Section 14 (b) of the Representation of People Act, 1950 the relevant date (qualifying date) for determining the age of an applicant is the first day of January of the year in which the electoral roll after revision is finally published. For example, if you have completed or are completing 18 years of age on any date from and after 2nd January 2013 but upto to 1st January 2014, you will be eligible for registration as a voter in the elector roll going to be finally published in January, 2014."
Can a non-citizen of India become a voter in the electoral rolls in India?,No. A person who is not a citizen of India is not eligible for registration as a voter in the electoral rolls in India. Even those who have ceased to be citizens of India on acquiring the citizenship of another country are not eligible to be enrolled in the electoral rolls in India.
Can a non-resident Indian settled in foreign land become an elector of electoral roll in India?,"Yes. According to the provisions of Sec 20A of the Representation of People Act, 1950 by the Representation of the People (Amendment) Act, 2010, a person who is a citizen of India and who has not acquired the citizenship of any other country and is otherwise eligible to be registered as a voter and who is absenting from his place of ordinary residence in India owing to his employment, education or otherwise is eligible to be registered as a voter in the constituency in which his place of residence in India as mentioned in his passport is located."
How can one get registered / enrolled in the electoral roll?,"One has to file the application for the purpose, in prescribed Form 6, before the Electoral Registration Officer / Assistant Electoral Registration Officer of the constituency within which the place of ordinary residence of the applicant falls. The application accompanied by copies of the relevant documents can be filed in person before the concerned Electoral Registration Officer / Assistant Electoral Registration Officer or sent by post addressed to him or can be handed over to the Booth Level Officer of your polling area, or can even be filed online on website of Chief Electoral Officer of the concerned state or website of Election Commission of India. While filing Form 6 on line, the copies of necessary documents should also be uploaded."
From where Form 6 can be obtained ?,It can be downloaded from the website of Election Commission of India. Form 6 is also available free of cost in offices of Electoral Registration Officers / Assistant Electoral Registration Officers and Booth Level Officers of the concerned polling station areas.
What documents are required to be enclosed with Form 6?,"One recent passport size coloured photograph, duly affixed in the box given for the purpose in Form 6 and photo-copies of documentary proof of age and residence are required to be enclosed with Form 6. The list of documentary proof of age and residence which can be enclosed with Form 6 is given in the guidelines enclosed with Form 6. For filling up Form 6, the said guidelines enclosed therewith may be referred to."
I do not have a ration card. Can I get enrolled without a ration card ?,"If an applicant does not have a ration card, he can submit any other proof of residence, listed in the guidelines enclosed with Form 6."
What are the other documents which I can show as a proof of my residence ?,"If an applicant does not have a ration card, he can submit any other proof of residence, listed in the guidelines enclosed with Form 6."
Is a documentary proof of age required in cases where age of the applicant is more than 21 years?,"Documentary proof of age is required only in those cases, where age of the applicant is between 18 and 21 years. In all other cases, declaration of his age by the applicant will be taken as proof of age."
An applicant who is of 18-21 years of age doesn’t have any of the documentary proof of age / date of birth. What paper he is required to attach with his application form for registration as an elector?,"In case none of the documents specified by the Commission in the said guidelines is available with an applicant who is of 18-21 years of age, a declaration in prescribed format given in Annexure – I (enclosed with the Guidelines attached with Form 6 available on the website of Election Commission) made by either of the parents of the applicant (or by guru in case of an elector in transsexual (‘others’) category) can be given. In those cases where parental declaration is given as proof of age, the applicant will have to present himself for verification before Booth Level Officer /Assistant Electoral Registration Officer / Electoral Registration Officer. Further, if none of the above documents is available and neither of the parents is alive, the applicant can attach a certificate of his age given by a sarpanch of the concerned Gram Panchayat or by a member of the concerned Municipal Corporation / Municipal Committee/Legislative Assembly/Parliament."
I am a student staying at the place of study in a hostel / mess far from my native place. I want to get myself registered at my present address of residence. What should I do ?,"In case of a student residing at the place of study, in hostel or mess managed by the educational institutions or elsewhere will have the option to get himself / herself registered as elector at his / her native place with his / her parents or at the address of hostel / mess where he / she is resident for the time being for pursuing his / her studies. The course pursued by the said students should be recognized by Central / State Governments / Boards / Universities / Deemed Universities and such courses should be of not less than 1 year’s duration. Such student who wants to enroll himself / herself at the hostel / mess will have to attach a bonafide certificate (as per the specimen at Annexure II of Guidelines attached to Form 6 available on the website of Election Commission) from the Headmaster / Principal / Director / Registrar / Dean of his/her educational institution with Form 6."
"A homeless person, who is otherwise eligible for registration as an elector, does not possess documentary proof of ordinary residence. What is the procedure of verification in such case?","In case of homeless persons, the Booth Level Officer will visit the address given in Form 6 at night to ascertain that the homeless person actually sleeps at the place which is given as his address in Form 6. If the Booth Level Officer is able to verify that the homeless person actually sleeps at that place, no documentary proof of place of residence shall be necessary. Booth Level Officer must visit for more than one night for such verification."
I am a tenant and my landlord does not want me to get enrolled. How can I get enrolled as a voter?,"To get enrolled in the voter list is your statutory right. Please check the electoral roll of your area available on website of Election Commission / Chief Electoral Officer of the state / in office of Electoral Registration Officer / Assistant Electoral Registration Officer. If your name is not included in the roll, please fill up Form 6 and deposit it with the Electoral Registration Officer / Assistant Electoral Registration Officer / Booth Level Officer."
Who is competent to verify claim applications and objections?,The Electoral Registration Officer/Assistant Electoral Registration Officer of the concerned constituency.
Where the postal address of the Electoral Registration Officers can be obtained from ?,Postal addresses of all Electoral Registration Officers are available on the website of Election Commission of India / Chief Electoral Officers of respective State / Union Territory (link to which has been provided on the Election Commission of India website).
"If I apply online, whether I need to send to the Electoral Registration Officer’s address, signed copy of the Form 6 along with required documents.","As soon as the Electoral Registration Officer / Assistant Electoral Registration Officer receives Form 6 filed on line, he downloads the form along with enclosure and deputes Booth Level Officer to visit your residence to verify and obtain your original signature on the application form."
Where will be the notice of hearing sent by Electoral Registration Officer?,"The Electoral Registration Officer will send notice at the address of applicant in the country of his current residence, as informed by him and it will be considered as due service of notice to the applicant."
"Is personal appearance of applicant or hearing parties necessary? If yes, how will the hearing be conducted?","Normally, personal appearance or hearing is not necessary. On receipt of Form 6, the Electoral Registration Officer shall display a copy of the said form on his notice board inviting objections, if any, within a week period. The Electoral Registration Officer may also ask the concerned Booth Level Officer to visit the residence of the applicant and verify with him / her, relatives or the neighbours, if any, the information provided by the applicant. If Form 6 is complete in all respects and copies of all relevant documents enclosed and no person has objected within the stipulated period of one week the Electoral Registration Officer / Assistant Electoral Registration Officer can order inclusion of name in the electoral roll after such verification by the Booth Level Officer as considered necessary.
In case there is an objection to the claim in From 6 for inclusion of name, the Electoral Registration Officer / Assistant Electoral Registration Officer hears the applicant and the objector in respect of the objection raised."
Where can the list of claims and objections be seen?,It can be seen on the website of the Chief Electoral Officer of the State concerned. It also can be seen on the notice board at the office of the Electoral Registration Officer.
How will an applicant know that his/her name is included in the electoral roll?,The decision of the Electoral Registration Officer will be communicated to the applicant by post on his address given by him in Form 6 and also by SMS on the mobile number given by him in Form 6. Electoral rolls are also available on the website of the Chief Electoral Officer of the State concerned and can be seen by anybody.
How can corrections be made if there are some mistakes in the entries in the electoral roll pertaining to electors?,"For correction of mistakes in electoral rolls, an application in Form 8 is to be submitted to the Electoral Registration Officer concerned."
I have shifted from my residence where I am registered an elector to some other place. How do I ensure that I am enrolled in my new place of residence?,"In case the new residence is in the same constituency, please fill Form 8A, otherwise fill up Form 6 and submit to the Electoral Registration Officer / Assistant Electoral Registration Officer of the area of your new residence."
I have shifted my residence recently. I have Electors Photo Identity Card (EPIC) with the old address. Can I get new EPIC for the present address?,"First of all, you have to ensure that you are enrolled in the electoral roll of the concerned Assembly Constituency in which your new address is located. Though, it is not necessary to get your new address changed in EPIC, however, if you want to change address in EPIC, that can be done by making an application with a charge of Rs. 25 to Electoral Registration Officer of the new constituency. The Electoral Registration Officer will issue an EPIC with new address though the number of EPIC will be the same as that of the old EPIC."
My EPIC has some errors. What is the procedure to have a new EPIC with correct particulars?,"You can make an application in Form 8 for rectification of the errors in your EPIC. The Electoral Registration Officer will issue a new EPIC, with the same number, after making the necessary corrections."
I have lost my old EPIC. How can I get a new EPIC ?,"A replacement EPIC can be issued to an elector on payment of a fee of Rs. 25, alongwith a copy of the complaint lodged with the Police amount the loss of EPIC. However, no fee will be charged if the EPIC has been lost for reason beyond the control of the elector like flood, fire, other natural disaster etc."
Who can object to the inclusion of names in electoral rolls?,Any person who is a voter in the concerned constituency may object to the inclusion of names in electoral roll on the ground that the person whose names is included or is proposed to be included is not eligible to be registered as a voter in that constituency. An objection can be made in Form 7 to the concerned Electoral Registration Officer along with the relevant proof.
My neighbour / relative has shifted his residence to a new place but his name still continues in the electoral roll. In which Form the application for deletion of his name from the electoral roll can be made?,For deletion of name of a shifted / dead / absentee elector from the electoral roll application can be made in Form 7.
There's a duplicate entry in the electoral roll. In which Form the application for deletion of this duplicate entry from the electoral roll can be made?,"For deletion of a duplicate entry also, application should be made in Form 7."
When can one get registered in electoral roll. Is enrollment is on throughout the year.,"The Election Commission normally orders revision of existing electoral roll every year sometime in the months of September to October and such revised rolls are finally published in first week of January of the coming year. One can submit claim application (Form 6) during period for lodging claims and objections to Electoral Registration Officer or an officer designated to receive such applications, i.e., Designated Officer. Even after final publication, the rolls are updated continuously and one can get registered anytime during the continuous updation by filing a claim application to Electoral Registration Officer / Assistant Electoral Registration Officer."
"Can one be enrolled at more than one place? If I am working / residing in Delhi, can I be an elector in my native place in Uttarakhand?","No. A person cannot be enrolled as a voter at more than one place in view of the provisions contained in Sections 17 and 18 of Representation of People Act, 1950. Likewise, no person can be enrolled as an elector more than once in any electoral roll. Any person while applying for fresh enrolment, makes a statement or declaration whether his / her name is already included in the electoral roll of any other constituency, and if such statement/declaration is false and which the applicant either knows or believes to be false or does not believe to be true, he is liable to be punished under section 31 of the Representation of the People Act, 1950."
"If I have a complaint against the order of Electoral Registration Officer, to whom I should make an appeal?","During the period of revision, you can file an appeal to the District Election Officer. In the case of application during the process of continuous updation,  such  appeal against any order of Electoral Registration Officer will lie before the District Magistrate/ Additional DM / Executive Magistrate / District Collector of the District concerned. A further appeal against the order of Appellate Authority will lie before the Chief Electoral Officer of the State."
What is the Model Code of Conduct?,The Model Code of Conduct for guidance of political parties and candidates is a set of norms which has been evolved with the consensus of political parties who have consented to abide by the principles embodied in the said code and also binds them to respect and observe it in its letter and spirit.
What is the role of Election Commission in the matter?,"The Election Commission ensures its observance by political party(ies) in power, including ruling parties at the Centre and in the States and contesting candidates in the discharge of its constitutional duties for conducting the free, fair and peaceful elections to the Parliament and the State Legislatures under Article 324 of the Constitution of India. It is also ensured that official machinery for the electoral purposes is not misused. Further, it is also ensured that electoral offences, malpractices and corrupt practices such as impersonation, bribing and inducement of voters, threat and intimidation to the voters are prevented by all means. In case of violation, appropriate measures are taken."
From which date the Model Code of Conduct is enforced and operational upto which date?,The Model Code of Conduct is enforced from the date of announcement of election schedule by the Election Commission and is operational till the process of elections are completed.
What is applicability of code during general elections and bye-elections?,"During general elections to House of People (Lok Sabha), the code is applicable throughout the country. During general elections to the Legislative Assembly (Vidhan Sabha), the code is applicable in the entire State. During bye-elections, in case the constituency is comprised in State Capital/Metropolitan Cities/Municipal Corporations, then the code would be applicable in the area of concerned Constituency only. In all other cases the MCC would be enforced in the entire district(s) covering the Constituency going for bye-election(s)."
What are the salient features of the Model Code of Conduct?,"The salient features of the Model Code of Conduct lay down how political parties, contesting candidates and party(s) in power should conduct themselves during the process of elections i.e. on their general conduct during electioneering, holding meetings and processions, poll day activities and functioning of the party in power etc."
Whether a Minister can combine his official visit with electioneering work?,"No. The Ministers shall not combine their official visit with electioneering work and shall not also make use of official machinery or personnel during the electioneering work however, the Commission has exempted the Prime Minister from the operation of the model code of conduct provision pertaining to the combining of official visit with electioneering visit."
Whether Govt. transport can be used for electioneering work?,"No transport including official air-crafts, vehicles etc. shall be used for furtherance of the interest of any party or a candidate."
Whether Govt. can make transfers and postings of officials who are related to election work?,"There shall be a total ban on the transfer and posting of all officers/officials directly or indirectly connected with the conduct of the election. If any transfer or posting of an officer is considered necessary, prior approval of the Commission shall be obtained."
Suppose an officer related to election work has been transferred by the Govt. before enforcement of model code of conduct and has not taken over charge at new place. Can such officer take over charge of office at new place after announcement of the code?,No. Status-quo-ante shall be maintained.
Whether a Minister of Union or State can summon any election related officer of the constituency or the State for any official discussion during the period of elections?,"No Minister, whether of Union or State, can summon any election related officer of the constituency or the State for any official discussions anywhere."
What are the exceptions for a Minister of Union or State to summon any election related officer of the constituency or the State for any official discussion during the period of elections?,"Only exception will be when a Minister, in his capacity as in charge of the department concerned, or a Chief Minister undertakes an official visit to a constituency, in connection with failure of law and order or a natural calamity or any such emergency which requires personal presence of such Ministers/Chief Ministers for the specific purpose of supervising review/salvage/relief and such like purpose. If Union Minister is traveling out of Delhi on purely official business, which cannot be avoided in public interest, then a letter certifying to this effect should be sent from the concerned Secretary of the Ministry/Department to the Chief Secretary of the concerned State, with a copy to the Election Commission."
Can an official meet the minister on his private visit to the Constituency where elections are being held?,"No. Any official who meets the Minister on his private visit to the constituency shall be guilty of misconduct under the relevant service rules; and if he happens to be an official mentioned in Section 129 (1) of the Representation of People Act, 1951, he shall also be additionally considered to have violated the statutory provisions of that Section and liable to penal action provided thereunder."
Whether Ministers are entitled for official vehicle during the election?,Ministers are entitled to use their official vehicles only for commuting from their official residence to their office for official work provided that such commuting is not combined with any electioneering or any political activity.
Whether Ministers or any other political functionaries can use pilot car with beacon lights affixed with siren?,"Minister or any other political functionary is not allowed during election period, to use pilot car or car with beacon lights of any colour or car affixed with sirens of any kind whether on private or official visit, even if the State administration has granted him a security cover requiring presence of armed guards to accompany him on such visit. This prohibition is applicable whether the vehicle is government owned or private owned."
Suppose a vehicle has been provided to Minister by the State and the Minister is given an allowance for maintenance of such vehicle.  Can it be used by the Minister for election purposes?,"Where a vehicle is provided by the State or the Minister is given an allowance for maintenance of the vehicle, he cannot use such vehicle for election."
Whether there is any restriction or visits of members of National Commission for Schedule Castes or any other similar National/State Commissions?,"It is advised that all official visits of Members of such Commissions shall be deferred, unless any such visit becomes unavoidable in an emergent situation, till the completion of election exercise to avoid any misunderstanding that may arise in any quarters."
Whether a Chief Minister/Minister/Speaker can attend a “State Day” function of a State?,There is no objection provided that he does not make any political speech on the occasion and the function is to be conducted only by Govt. officials. No advertisement depicting the photograph of Chief Minister/Minister/Speaker shall be released.
Whether Governor/Chief Minister/Ministers can participate and address the Convocation function of University or Institute?,Governor may participate and address the Convocation. Chief Minister or Ministers may be advised not to participate and address the Convocation.
"Whether “Iftar Party” or any other similar party can be hosted at the residence of political functionaries, the expenses of which will be borne by State exchequer?",No. However any individual is free by to host any such party in his personal capacity and at his personal expense.
Is there any restriction on issue of advertisement at the cost of public exchequer regarding achievements with a view to furthering the prospects of the party in power?,Yes. The advertisement regarding achievements of the party at the cost of public exchequer in the print and electronic media and the misuse of official mass media during the period of election is prohibited.
Whether hoardings/advertisements etc.  depicting the achievements of the party(s) in power at Centre/State Governments at the cost of public exchequer can be continued?,"No. All such hoardings, advertisements etc. on display shall be removed forthwith by the concerned authorities. Further, no advertisements should be issued in the newspapers and other media including electronic media at the cost of public exchequer."
Whether a Minister or any other authority can sanction grants/ payments out of discretionary funds?,No. Ministers and other authorities shall not sanction grants/payments out of discretionary funds from the time elections are announced.
Suppose work order has been issued in respect of a scheme or a programme.  Can it be started after announcement of election programme?,Work shall not be started in respect of which work order has been issued before announcement of election but the work has actually not started in the field. If a work has actually started in the field that can be continued.
Whether fresh release of funds under MPs/MLAs/MLCs Local Area Development Fund of any scheme can be made?,"No. Fresh release of funds under MPs/MLAs/MLCs Local Area Development Fund of any scheme shall not be made in any area where election is in progress, till the completion of the election process."
There are various rural development programmes/ schemes of Central government like Indira Awas Yojana. Are there any guidelines for implementation of these schemes/programmes?,"Indira Awas Yojana (IAY): Beneficiaries, who have been sanctioned housing scheme under IAY and have started work, will be assisted as per norms. No new constructions will be taken up or fresh beneficiaries sanctioned assistance till the elections are over."
There are various rural development programmes/ schemes of Central government like Sampoorna Grameen Rozgar Yojana. Are there any guidelines for implementation of these schemes/programmes?,"Sampoorna Grameen Rozgar Yojana (SGRY): Continuing works in progress may be continued and funds earmarked for such works can be released. In case of any Panchayat where all ongoing works have been completed and there is a requirement for taking up new wage employment works and where funds released directly to the Panchayats from the Ministry of Rural Development are available, new works can be started from approved annual action plan for the current year with the prior consent of the District Election Officer. From other funds, no new works shall be started."
There are various rural development programmes/ schemes of Central government like Swaranjayanti Gram Swarozgar Yojana. Are there any guidelines for implementation of these schemes/programmes?,Swaranjayanti Gram Swarozgar Yojana (SGSY): Only those help groups which have received part of their subsidy/grant will be provided the balance installments. No fresh individual beneficiaries or SHGs will be given financial assistance till the elections are over.
There are various rural development programmes/ schemes of Central government like National Food for Work programme. Are there any guidelines for implementation of these schemes/programmes?,"National Food for Work Programme(NFWP): There is no objection for continuance of old works and sanction of new works in those districts where no elections have been announced. In those districts where elections have been announced and are in progress, only those works may be undertaken that have already started physically on ground, provided outstanding advance given for implementation of such works at a given time shall not exceed the amount equivalent to work for 45 days."
There are various rural development programmes/ schemes of Central government like National Rural Employment Guarantee Act. Are there any guidelines for implementation of these schemes/programmes?,"National Employment Rural Guarantee Act (NERGA): The Ministry of Rural Development shall not increase the number of districts in which it is being implemented after announcement of elections. The job card holders will be provided employment in the ongoing work, if they demand work, after announcement of elections. In case no employment can be provided in ongoing works, the competent authority may start new work(s) from the shelf of projects that has been approved and inform the fact to concerned District Election Officer (DEO). No new work shall be started by the competent authority till such time employment can be given in ongoing works. In case no shelf of project is available or all works available on shelf have been exhausted, then the concerned competent authority shall make a reference to the Commission for approval through the concerned DEO. The competent authority shall also furnish a certificate to DEO to the effect that the new work has been sanctioned as no employment can be given to the job card holder in the ongoing work."
Whether a Minister or any other authority can announce any financial grants in any form or promises thereof or lay foundation stones etc. of projects or schemes of any kinds etc.?,"No. Ministers and other authorities shall not announce any financial grants in any form or promises thereof; or (except civil servants) lay foundation stones etc. of projects or schemes of any kind; or make any promise of construction of roads, provision of drinking water facilities etc. or make  any ad-hoc appointments in Government, Public Undertakings etc. In such case, senior Govt. officer may lay foundation stone etc. without involving any political functionary."
A budget provision has been made for a particular scheme or the scheme has been sanctioned earlier. Can such scheme be announced or inaugurated?,No. Inauguration/announcement of such scheme is prohibited during election period.
Whether ongoing beneficiary scheme can be continued?,The following types of existing works can be continued by the government agencies without reference to the Election Commission after the Model Code of Conduct comes into force: Work-Projects that have actually started on the ground after obtaining all necessary sanctions; Beneficiary-projects where specific beneficiaries by name have been identified before coming of the Model Code of Conduct into force; Registered beneficiaries of MGNREGA may be covered under existing projects. New projects under MGNREGA that may be mandated under the provisions of the Act may be taken up only if it is for the already registered beneficiaries and the project is already listed in the approved and sanctioned shelf of projects for which funds are also already earmarked.
